show_id,type,show_title,director,cast,release_year,rating,duration,genres,country,synopsis,show_newid,genres_merged,cumulative_top_10
s8206,Movie,The Battle of Midway,John Ford,"Henry Fonda, Jane Darwell",1942,TV-14,18 min,"Classic Movies, Documentaries",United States,"Director John Ford captures combat footage of the Battle of Midway, an air and sea campaign that was a turning point in the war in the Pacific.",s_0001,"Documentaries, Classic Movies",
s8641,Movie,Tunisian Victory,"Frank Capra, John Huston, Hugh Stewart, Roy Boulting, Anthony Veiller",Burgess Meredith,1944,TV-14,76 min,"Classic Movies, Documentaries","United States, United Kingdom","British and American troops join forces to liberate a Nazi stranglehold in North Africa, sharing battles, hard work and a peaceful Christmas dinner.",s_0002,"Documentaries, Classic Movies",
s7220,Movie,Know Your Enemy - Japan,"Frank Capra, Joris Ivens","Walter Huston, Dana Andrews",1945,TV-14,63 min,"Classic Movies, Documentaries",United States,"Though culturally insensitive by modern standards, this propaganda film examines the history of Japan from the 16th century through the 1930s.",s_0003,"Documentaries, Classic Movies",
s7295,Movie,Let There Be Light,John Huston,Walter Huston,1946,TV-PG,58 min,"Classic Movies, Documentaries",United States,Some returning combat veterans suffer scars that are more psychological than physical. This film follows patients and staff during their treatment.,s_0004,"Documentaries, Classic Movies",
s8588,Movie,Thunderbolt,"William Wyler, John Sturges","James Stewart, Lloyd Bridges",1947,TV-PG,42 min,"Classic Movies, Documentaries",United States,"A P-47 Thunderbolt squadron is shown in preparation, at play and in bombing raids aiming to halt Nazi supply lines and aid Allied ground troops.",s_0005,"Documentaries, Classic Movies",
s2376,Movie,The Blazing Sun,Youssef Chahine,"Omar Sharif, Faten Hamama, Zaki Rostom, Farid Shawqy, Abdel-Wareth Asar, Menassa Fahmy, Abdelghany Kamar, Hamdy Gheith, Mohsen Hassanein, Rafeaa El Shal",1954,TV-14,116 min,"Classic Movies, Dramas, International Movies",Egypt,Competition between sugar cane producers turns deadly after a greedy landlord conspires against an agricultural engineer who falls for his daughter.,s_0006,"Dramas, International Movies, Classic Movies",
s1700,Movie,White Christmas,Michael Curtiz,"Bing Crosby, Danny Kaye, Rosemary Clooney, Vera-Ellen, Dean Jagger, Mary Wickes, John Brascia, Anne Whitfield, George Chakiris",1954,TV-G,120 min,"Children & Family Movies, Classic Movies, Comedies",United States,"Two war buddies fall for two sisters and follow the girls to a resort owned by their former commanding officer, who is in danger of losing the place.",s_0007,"Comedies, Children & Family Movies, Classic Movies",
s7840,Movie,Rebel Without a Cause,Nicholas Ray,"James Dean, Natalie Wood, Sal Mineo, Jim Backus, Ann Doran, Corey Allen, William Hopper, Rochelle Hudson, Dennis Hopper, Edward Platt",1955,PG-13,111 min,"Classic Movies, Dramas",United States,"When Jim Stark arrives in a new town with his troubled past firmly in tow, he quickly falls for the girl next door and befriends the vulnerable Plato.",s_0008,"Dramas, Classic Movies",
s7955,Movie,Scandal in Sorrento,Dino Risi,"Vittorio De Sica, Sophia Loren, Lea Padovani, Antonio Cifariello, Tina Pica, Mario Carotenuto, Yoka Berretty, Virgilio Riento, Clara Crispo, Pasquale Misiano",1955,TV-PG,93 min,"Classic Movies, Comedies, Independent Movies","Italy, France","When a marshal moves back to his hometown, he finds a woman renting his property who refuses to leave but soon captures his affection.",s_0009,"Comedies, Independent Movies, Classic Movies",
s8507,Movie,The Sign of Venus,Dino Risi,"Sophia Loren, Franca Valeri, Vittorio De Sica, Raf Vallone, Virgilio Riento, Tina Pica, Lina Gennari, Eloisa Cianni, Leopoldo Trieste, Maurizio Arena, Franco Fantasia, Peppino De Filippo, Alberto Sordi",1955,TV-14,97 min,"Classic Movies, Comedies, Independent Movies",Italy,"While suitors swoon over her cousin, a single woman takes initiative in finding herself a partner after receiving a favorable romantic fortune.",s_0010,"Comedies, Independent Movies, Classic Movies",
s2370,Movie,Dark Waters,Youssef Chahine,"Faten Hamama, Omar Sharif, Ahmed Ramzy, Hussein Riad, Ferdoos Mohammed, Aziza Helmy, Tawfik El Deken",1956,TV-14,104 min,"Classic Movies, Dramas, International Movies",Egypt,"A fisherman returns home after a three-year absence only to find the woman he loves drifting away, the sailors feuding and his community unraveling.",s_0011,"Dramas, International Movies, Classic Movies",
s6785,Movie,Forbidden Planet,Fred M. Wilcox,"Leslie Nielsen, Walter Pidgeon, Anne Francis, Jack Kelly, Warren Stevens, James Drury, Earl Holliman",1956,G,98 min,"Action & Adventure, Classic Movies, Sci-Fi & Fantasy",United States,"A pulp-fiction sci-fi classic, Forbidden Planet stars Leslie Nielsen as a heroic starship captain who finds the paradise planet Altair-IV.",s_0012,"Action & Adventure, Sci-Fi & Fantasy, Classic Movies",
s6432,Movie,Cat on a Hot Tin Roof,Richard Brooks,"Elizabeth Taylor, Paul Newman, Burl Ives, Jack Carson, Judith Anderson, Madeleine Sherwood, Larry Gates, Vaughn Taylor",1958,NR,108 min,"Classic Movies, Dramas",United States,"Members of a Southern clan scramble to curry favor with a dying, wealthy patriarch in this adaptation of Tennessee Williams's sizzling stage drama.",s_0013,"Dramas, Classic Movies",
s6854,Movie,Gigi,"Vincente Minnelli, Charles Walters","Leslie Caron, Maurice Chevalier, Louis Jourdan, Hermione Gingold, Eva Gabor, Jacques Bergerac, Isabel Jeans, John Abbott, Edwin Jerome, Corinne Marchand",1958,G,115 min,"Classic Movies, Comedies, Music & Musicals",United States,Gigi's an avant-garde French waif being groomed as the fille de joie of affluent and handsome Gaston. Soon Gigi metamorphoses into a stunning beauty.,s_0014,"Comedies, Music & Musicals, Classic Movies",
s2369,Movie,Cairo Station,Youssef Chahine,"Farid Shawqy, Hind Rostom, Youssef Chahine, Hassan el Baroudi, Abdel Aziz Khalil, Naima Wasfy, Said Khalil, Abdel Ghani Nagdi",1958,TV-14,73 min,"Classic Movies, Dramas, International Movies",Egypt,A Cairo newsstand vendor's fantasies morph into a dangerous fixation with a lemonade seller as a serial killer begins terrorizing the city.,s_0015,"Dramas, International Movies, Classic Movies",
s543,Movie,Ujala,Naresh Saigal,"Mala Sinha, Shammi Kapoor, Raaj Kumar, Leela Chitnis, Dhumal, Kumkum",1959,TV-14,143 min,"Dramas, International Movies",India,"An honest man dreams of a better life for his family, but a childhood friend leads him into a world of crime that keeps happiness just out of reach.",s_0016,"Dramas, International Movies",
s6396,Movie,Butterfield 8,Daniel Mann,"Elizabeth Taylor, Laurence Harvey, Eddie Fisher, Dina Merrill, Mildred Dunnock, Betty Field, Jeffrey Lynn, Susan Oliver",1960,TV-14,108 min,"Classic Movies, Dramas, Romantic Movies",United States,"Elizabeth Taylor won an Oscar as Gloria Wandrous, a stylish call girl who yearns to go straight, especially after she thinks she's found Mr. Right.",s_0017,"Dramas, Romantic Movies, Classic Movies",
s5221,Movie,Singapore,Shakti Samanta,"Shammi Kapoor, Padmini, Maria Menado, Shashikala, Agha, K.N. Singh, Madan Puri, Helen",1960,TV-PG,158 min,"Comedies, Dramas, International Movies","India, Malaysia","When his employee disappears in Singapore, Shyam travels from India to investigate the absence and becomes entangled in a deadly plot.",s_0018,"Dramas, Comedies, International Movies",
s7638,Movie,Ocean's Eleven,Lewis Milestone,"Frank Sinatra, Dean Martin, Sammy Davis Jr., Peter Lawford, Angie Dickinson, Richard Conte, Cesar Romero, Patrice Wymore, Joey Bishop",1960,TV-PG,127 min,"Action & Adventure, Classic Movies, Comedies",United States,"Frank Sinatra leads an all-star cast as Danny Ocean, who decides to knock over a few casinos on the Las Vegas Strip with his buddies.",s_0019,"Action & Adventure, Comedies, Classic Movies",
s178,Movie,The Guns of Navarone,J. Lee Thompson,"Gregory Peck, David Niven, Anthony Quinn, Stanley Baker, Anthony Quayle, James Darren, Irene Papas, Gia Scala, James Robertson Justice, Richard Harris",1961,TV-14,156 min,"Action & Adventure, Classic Movies","United Kingdom, United States","During World War II, British forces launch an attack designed to take out the massive Nazi cannons that guard a critical sea channel.",s_0020,"Action & Adventure, Classic Movies",
s7333,Movie,Lolita,Stanley Kubrick,"James Mason, Shelley Winters, Peter Sellers, Sue Lyon, Gary Cockrell, Jerry Stovin, Diana Decker, Lois Maxwell, Cec Linder",1962,R,153 min,"Classic Movies, Dramas, Romantic Movies","United Kingdom, United States","In this black comedy, an English professor marries his landlady to get closer to his forbidden obsession: her teenage daughter.",s_0021,"Dramas, Romantic Movies, Classic Movies",
s5401,Movie,Professor,Lekh Tandon,"Shammi Kapoor, Kalpana, Lalita Pawar, Parveen Choudhary, Salim, Pratima Devi, Rashid Khan, Bir Sakuja, Bela Bose, Ratnamala",1962,TV-PG,163 min,"Comedies, Dramas, International Movies",India,A college grad in need of money must disguise himself as an old man to tutor two young women who are under the watchful eye of their strict aunt.,s_0022,"Dramas, Comedies, International Movies",
s7531,Movie,Mutiny on the Bounty,"Lewis Milestone, Carol Reed","Marlon Brando, Trevor Howard, Richard Harris, Hugh Griffith, Richard Haydn, Tarita",1962,TV-PG,185 min,"Action & Adventure, Classic Movies, Dramas",United States,"Marlon Brando gives a nuanced performance as the aristocratic Lt. Fletcher Christian, an officer aboard the HMS Bounty who leads a mutiny against the ship's tyrannical Capt. Bligh.",s_0023,"Action & Adventure, Classic Movies, Dramas",
s2374,Movie,Saladin,Youssef Chahine,"Ahmad Mazhar, Salah Zo El Faqqar, Nadia Lotfi, Hamdy Gheith, Laila Fawzy, Omar El-Hariri, Laila Taher, Hussein Riad, Mahmoud El Meleigy, Zaki Tolaimat",1963,TV-MA,194 min,"Action & Adventure, Classic Movies, Dramas",Egypt,The Sultan of Egypt and Syria launches a campaign to retake Jerusalem amid the Crusades.,s_0024,"Action & Adventure, Classic Movies, Dramas",
s7933,Movie,Sangam,Raj Kapoor,"Raj Kapoor, Vyjayanthimala, Rajendra Kumar, Lalita Pawar, Achala Sachdev, Hari Shivdasani, Raj Mehra, Iftekhar",1964,TV-14,228 min,"Classic Movies, Dramas, International Movies",India,"Returning home from war after being assumed dead, a pilot weds the woman he has long loved, unaware that she had been planning to marry his best friend.",s_0025,"Dramas, International Movies, Classic Movies",
s1127,Movie,My Fair Lady,George Cukor,"Audrey Hepburn, Rex Harrison, Stanley Holloway, Wilfred Hyde-White, Gladys Cooper, Jeremy Brett, Theodore Bikel, Mona Washbourne, Isobel Elsom, John Holland, Alan Napier, Marni Nixon",1964,G,173 min,"Classic Movies, Music & Musicals",United States,"When a Cockney flower girl takes elocution lessons from an aloof professor, he decides to introduce her to high society, transforming both their lives.",s_0026,"Music & Musicals, Classic Movies",
