country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10,year,show_newid,synopsis
United States,US,2021-07-04,Films,4,Wish Dragon,,1,2021,r_0003,Determined teen Din is longing to reconnect with his childhood best friend when he meets a wish-granting dragon who shows him the magic of possibilities.
United States,US,2021-07-11,TV,10,The Bureau of Magical Things,The Bureau of Magical Things: Season 1,1,2021,r_0007,"When a teen accidentally discovers an enchanted realm, she becomes the only one able to unite the human and magical worlds – and save both from evil."
United States,US,2021-07-11,Films,8,The Best of Enemies,,1,2021,r_0009,"In 1971, a summit on school integration in North Carolina pits a civil rights activist against a Ku Klux Klan leader, sparking an unlikely friendship."
United States,US,2021-07-11,Films,10,Kung Fu Panda 2,,1,2021,r_0011,"With his fists up and belly full, Po embarks on a perilous journey with the Furious Five to take on a frightful new enemy and save the art of kung fu."
United States,US,2021-07-11,Films,7,Fatherhood,,2,2021,r_0012,"A widowed new dad copes with doubts, fears, heartache and dirty diapers as he sets out to raise his daughter on his own. Inspired by a true story."
United States,US,2021-07-11,Films,3,Talladega Nights: The Ballad of Ricky Bobby,,2,2021,r_0013,"NASCAR superstar Ricky Bobby believes he's the best there is, until the arrival of a French Formula One champion threatens his position as top dog."
United States,US,2021-07-11,Films,5,The Ice Road,,2,2021,r_0014,"To save a team of miners trapped underground, a down-on-his-luck ice road trucker joins a mission across treacherous terrain to deliver rescue equipment."
United States,US,2021-07-18,TV,6,Atypical,Atypical: Season 4,2,2021,r_0015,"When a teen on the autism spectrum decides to get a girlfriend, his bid for more independence puts his whole family on a path of self-discovery."
United States,US,2021-07-18,Films,10,Kung Fu Panda,,2,2021,r_0019,"When a powerful villain comes after peace in his valley, a lazy panda rises to the challenge to realize his destiny and become a kung fu warrior."
United States,US,2021-07-25,Films,8,Trollhunters: Rise of the Titans,,1,2021,r_0023,"Heroes from ""Trollhunters,"" ""3Below"" and ""Wizards"" join forces to fight a shadowy enemy threatening to take over their worlds — and reset Earth itself."
United States,US,2021-08-01,Films,3,The Last Letter From Your Lover,,2,2021,r_0026,"After finding a trove of love letters from 1965, a reporter sets out to solve the mystery of a secret affair — while embarking on a romance of her own."
United States,US,2021-08-01,Films,6,The Twilight Saga: New Moon,,3,2021,r_0027,"Still reeling from the departure of vampire Edward Cullen, a heartbroken Bella Swan finds comfort in her friendship with werewolf Jacob Black."
United States,US,2021-08-01,Films,7,The Twilight Saga: Eclipse,,3,2021,r_0028,"With a bloodthirsty enemy on a quest for revenge, Bella must reconcile her love for vampire Edward and her growing feelings for werewolf Jacob."
United States,US,2021-08-01,Films,4,Twilight,,3,2021,r_0029,"When Bella Swan moves in with her father, she starts school and meets Edward, a mysterious classmate who reveals himself to be a 108-year-old vampire."
United States,US,2021-08-01,Films,5,The Twilight Saga: Breaking Dawn: Part 2,,2,2021,r_0030,"In the epic series' final chapter, Bella and Edward's newborn daughter forces the couple into a life-altering confrontation with the Volturi."
United States,US,2021-08-01,Films,8,The Twilight Saga: Breaking Dawn: Part 1,,2,2021,r_0031,"After a dream wedding, Bella and Edward enter a new nightmare when a shocking development forces life-or-death decisions."
United States,US,2021-08-08,Films,9,Poms,,1,2021,r_0033,"After moving to a retirement community, loner Martha befriends a fun-loving neighbor and forms a cheerleading club for young-at-heart seniors."
United States,US,2021-08-08,Films,6,Five Feet Apart,,1,2021,r_0034,A teen with cystic fibrosis shakes up her daily routine and challenges hospital protocol when she falls for a fellow patient.
United States,US,2021-08-15,Films,8,The Losers,,2,2021,r_0037,"After a search-and-destroy mission leads to betrayal, an elite black ops squad seeks revenge. But they must remain deep undercover to even the score."
United States,US,2021-08-15,Films,9,The Paper Tigers,,1,2021,r_0040,"After reuniting as middle-aged men, three kung-fu prodigies must set their differences aside and dust off their skills to avenge their beloved mentor."
United States,US,2021-08-15,Films,6,Aftermath,,2,2021,r_0042,"Desperate to save their marriage, a young couple takes a deal and moves into their dream home, but disturbing events reveal the house's troubled history."
United States,US,2021-08-15,Films,10,The Net,,1,2021,r_0043,"A computer analyst becomes a target after she stumbles onto a conspiracy via a mysterious floppy disk, forcing her to go on the run to clear her name."
United States,US,2021-08-22,TV,6,Hit & Run,Hit & Run: Season 1,3,2021,r_0045,A man searching for the truth behind his wife's death becomes caught up in a dangerous web of secrets and intrigue stretching from New York to Tel Aviv.
United States,US,2021-08-22,Films,3,Beckett,,2,2021,r_0046,An American tourist goes on the run in Greece after a tragic accident plunges him into a political conspiracy that makes him a target for assassination.
United States,US,2021-08-22,Films,7,Major Payne,,3,2021,r_0050,A hardened Marine is given his marching orders and must now lead a disorderly group of mismatched cadets into a junior ROTC competition.
United States,US,2021-08-22,Films,4,The Kissing Booth 3,,2,2021,r_0051,"Determined to make the most of her final summer before college, Elle plans the ultimate bucket list as she navigates what comes next with Noah and Lee."
United States,US,2021-08-29,Films,9,The Water Man,,1,2021,r_0052,"Desperate to save his ailing mother, 11-year-old Gunner runs away from home on a quest to find a mythic figure rumored to have the power to cheat death."
United States,US,2021-08-29,Films,8,The Old Ways,,1,2021,r_0054,"A reporter visits her birthplace in Veracruz for a story about tribal culture, only to be kidnapped by locals who believe she's demonically possessed."
United States,US,2021-08-29,TV,9,The Chair,The Chair: Season 1,1,2021,r_0055,"At a major university, the first woman of color to become chair tries to meet the dizzying demands and high expectations of a failing English department."
United States,US,2021-09-05,Films,9,The November Man,,1,2021,r_0058,"An ex-CIA agent emerges from retirement to protect an important witness, but he soon discovers that old friends can make the most dangerous enemies."
United States,US,2021-09-05,Films,8,Sweet Girl,,3,2021,r_0061,"He lost the love of his life to a pharmaceutical company's greed. Now his daughter is without a mother, and he's without justice. For now."
United States,US,2021-09-12,Films,4,Welcome Home Roscoe Jenkins,,2,2021,r_0062,"R.J. travels to Georgia for his parents' 50th anniversary. But after pompously flaunting his Hollywood lifestyle, he must examine what he's become."
United States,US,2021-09-12,Films,8,Green Lantern,,2,2021,r_0063,Test pilot Hal Jordan harnesses glowing new powers for good when he wears an otherworldly ring and helps an intergalactic force stop a powerful threat.
United States,US,2021-09-12,Films,10,Freedom Writers,,1,2021,r_0066,"While her at-risk students are reading classics such as ""The Diary of Anne Frank,"" a teacher asks them to keep journals about their troubled lives."
United States,US,2021-09-19,Films,8,School of Rock,,2,2021,r_0070,"Musician Dewey Finn gets a job as a fourth-grade substitute teacher, where he secretly begins teaching his students the finer points of rock 'n' roll."
United States,US,2021-09-19,Films,10,Wind River,,3,2021,r_0071,A tracker with the U.S. Fish and Wildlife Service assists a rookie FBI agent who's investigating a teen girl's murder on a remote Wyoming reservation.
United States,US,2021-09-26,Films,4,Safe House,,2,2021,r_0074,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.
United States,US,2021-09-26,Films,9,Jaws,,1,2021,r_0075,"When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast."
United States,US,2021-09-26,Films,7,Kate,,3,2021,r_0076,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge."
United States,US,2021-09-26,Films,10,An Unfinished Life,,3,2021,r_0077,"A grieving widow and her daughter move in with her estranged father-in-law in Wyoming, where time allows them to heal and forgive."
United States,US,2021-10-03,TV,8,Clickbait,Clickbait: Limited Series,6,2021,r_0081,"When family man Nick Brewer is abducted in a crime with a sinister online twist, those closest to him race to uncover who is behind it and why."
United States,US,2021-10-03,Films,9,Vivo,,9,2021,r_0082,A music-loving kinkajou embarks on the journey of a lifetime to fulfill his destiny and deliver a love song for an old friend.
United States,US,2021-10-03,Films,5,Grown Ups,,2,2021,r_0083,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid."
United States,US,2021-10-03,Films,3,The Starling,,2,2021,r_0087,A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.
United States,US,2021-10-10,Films,7,Step Brothers,,1,2021,r_0088,"Brennan and Dale might be grown men, but that doesn't stop a childish sibling rivalry from erupting after Brennan's mom marries Dale's dad."
United States,US,2021-10-17,TV,7,On My Block,On My Block: Season 4,2,2021,r_0093,"In a rough Los Angeles neighborhood, four smart, funny and streetwise teens find their lifelong friendship tested as they begin high school."
United States,US,2021-10-17,TV,8,Midnight Mass,Midnight Mass: Limited Series,4,2021,r_0094,"The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe."
United States,US,2021-10-17,Films,7,The Karate Kid,,2,2021,r_0096,"When a bullied teen befriends an unassuming martial arts master, he’ll learn life lessons — and the right moves — to beat back his merciless rivals."
United States,US,2021-10-24,TV,10,My Name,My Name: Season 1,1,2021,r_0102,"Following her father's murder, a revenge-driven woman puts her trust in a powerful crime boss — and enters the police force under his direction."
United States,US,2021-10-31,TV,10,Inside Job,Inside Job: Part 1,1,2021,r_0106,Lizard people? Real. The moon landing? Fake. Managing the world's conspiracies is a full-time job for an awkward genius and her dysfunctional co-workers.
United States,US,2021-10-31,Films,7,Hubie Halloween,,1,2021,r_0107,"Hubie's not the most popular guy in Salem, Mass., but when Halloween turns truly spooky, this good-hearted scaredy-cat sets out to keep his town safe."
United States,US,2021-10-31,Films,10,Home,,5,2021,r_0108,"When misfit alien Oh mistakenly sends a party invite to the entire galaxy, he goes on the run to avoid trouble and befriends spunky human girl Tip."
United States,US,2021-11-07,TV,6,Colin in Black & White,Colin in Black & White: Limited Series,1,2021,r_0115,"Colin Kaepernick narrates this drama series recounting his formative years navigating race, class and culture while aspiring for greatness."
United States,US,2021-11-07,Films,9,Army of the Dead,,1,2021,r_0119,"After a zombie outbreak in Las Vegas, a group of mercenaries takes the ultimate gamble by venturing into the quarantine zone for the greatest heist ever."
United States,US,2021-11-21,TV,10,Arcane,Arcane: Season 1,2,2021,r_0130,"Amid the stark discord of twin cities Piltover and Zaun, two sisters fight on rival sides of a war between magic technologies and clashing convictions."
United States,US,2021-11-28,TV,10,Narcos: Mexico,Narcos: Mexico: Season 3,4,2021,r_0135,"Witness the birth of the Mexican drug war in the 1980s as a gritty new ""Narcos"" saga chronicles the true story of the Guadalajara cartel's ascent."
United States,US,2021-11-28,TV,6,Hellbound,Hellbound: Season 1,2,2021,r_0136,"Unearthly beings deliver bloody condemnations, sending individuals to hell and giving rise to a religious group founded on the idea of divine justice."
United States,US,2021-11-28,TV,7,Squid Game,Squid Game: Season 1,11,2021,r_0138,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes."
